,Title,Sell price,Bids
0,dockskåp fågelbur med fin röd fågel i. Ny Lundby storlek husdjur papegoja,43,4
1,LUNDBY : Vitt badrum i plast. Från 2000-talet.,105,9
2,LUNDBY : 2 stycken trädgårdsstolar och bord i plast. Från 2000-talet.,80,8
3,"LUNDBY : Rosa tårta, kanna och 2 glas i plast. Från 2000-talet.",15,1
4,LUNDBY : Spetsgardin på mormorsstång i guld. Från 80-90-talet.,38,8
5,LUNDBY : Vit badrumsmatta. Från 2000-talet.,105,8
6,"LUNDBY : Vit stor rund matta diam 15,5 cm. Från 2000-talet.",15,1
7,"LUNDBY : Orientmatta 17x11,5 cm. Från 80-90-talet.",16,2
8,"Öppenspis med tillbehör, till Lundby dockskåp 80 tal",55,2
9,Del av kök till Lundby dockskåp 80 tal,30,1
10,LUNDBY : Lundby adapter med svart sladd. Från 80-90-talet.,76,9
11,LUNDBY : Lundby adapter med vit sladd. Från 80-90-talet.,76,8
12,LUNDBY : 2 stycken klädda stolar i Gustaviansk stil. Från 70-80-talet.,56,5
13,LUNDBY : 2 stycken hundar och en skål. Från 70-80-talet.,18,4
14,LUNDBY : 2 stycken kuddar i plysch. Från 2000-talet.,10,2
15,LUNDBY : Rosa soffa i plysch vitt bord. Från 80-90-talet.,118,19
16,LUNDBY MATTOR TILL DOCKSKÅPET,40,12
17,LUNDBY KATTFAMILJ,50,23
18,LUNDBY HUNDFAMILJ,13,10
19,LUNDBY 2 ST KANINER,26,23
20,LUNDBY BADRUM,100,42
21,LUNDBY MORMOR OCH MORFAR,57,8
22,LUNDBY 2 ST GARDINER,23,2
23,LUNDBY MUSIKSET,122,24
24,Lundby möbel bokhylla till dockhus,73,11
25,"Dockhus Tillbehör - Kaffebryggare + Vinglas i Äkta Mässing / "" Lundby """,105,24
26,Lundby soffa sammet 80/90-tal,23,2
27,Lundby badrum 80/90-tal badkar toalett handfat,130,29
28,Bokhylla Lundby,20,1
29,Bokhylla Lundby,40,1
30,Dubbelvask Lundby,50,1
31,Lundby matta,90,12
32,Duschkabin 70-tal? Lundby,9,1
33,Lundby basic kök,40,1
34,Lundby Dockskåp med tillbehör och transformator fungerande el,570,52
35,TVÄTTMASKIN DOCKSKÅP LUNDBY,100,1
36,Lundby akvarium med fiskar och lampa möbel till dockhus,85,11
37,Äldre Lundby dockor,712,50
38,Lundby Brio Kök,901,21
39,Lundby Brio Stolar. Pall och Bord,731,43
40,Lundby globlampa möbel till dockhus,101,17
41,Lundby 60-tals taklampa plafond möbel till dockhus,43,2
42,Lundby 60-tals taklampa möbel till dockhus,70,13
43,"Jättesöt snögubbe på en bänk Lundby, 1:12 skala dockhus/ dockskåp Jul, advent.",60,1
44,"Dockhus Lundby julgran m.slinga,julklappar sladdar kontakter",120,1
45,Retro KATALOG LUNDBY DOCKSKÅP DOCKSKÅPSMÖBLER MÖBLER LEKSAKER 90-tal leksak,250,32
46,Lundby dockskåp dockhus retro miniatyr dockskåp Stockholm,470,6
47,LUNDBY DOCKSKÅP RETRO 70 TAL / FUNGERANDE EL / FINT SKICK,470,61
48,Lundby möbel bokhylla till dockhus,35,3
49,Lundby möbel bokhylla med böcker och LP-skivor till dockhus,56,7
50,Lundby dockor till dockhus / mamma/pappa/barn,85,9
51,Lundby dubbelsäng/stol/nalle/sängkläder/säng till dockhus,190,13
52,"Smått & sött till dockskåp /dockhus ramar, kuddar mm retro & modernare Lundby mm",39,1
53,Tomte Snögubbe miniatyr Lundby Dockskåp,10,1
54,3 tomtar miniatyr Lundby Dockskåp,60,8
55,Lundby Lerro äldre lampa retro,243,9
56,sängkläder lundby dockskåp retro lakan,83,15
57,Batteridriven Lundby taklampa i plast. Dockskåp. Dockhus. Lundbyskalan.,100,4
58,Batteridriven Lundby golvlampa. Plast. Dockskåp. Dockhus. Lundbyskalan. Ny!,75,4
59,Lundby: vardagsrum,201,20
60,Lundby: dubbelsäng med sängbord,105,13
61,"Lundby Småland matrumsset, vitt matbord och fyra stolar i Lundbyskalan",75,1
62,Taklampa med 3 kedjor. Lundby Småland. Retro,39,4
63,Vägglampa. Lundby Småland. Retro,30,1
64,Taklampa kristallkrona . Lundby Småland. Retro,95,15
65,Taklampa. Lundby Småland. Retro,33,2
66,Bordslampa. Lundby Småland. Retro,69,12
67,Taklampa vit. Lundby Småland. Retro,30,1
68,Taklampa vit och röd. Lundby Småland. Retro,66,10
69,Taklampa rosa. Lundby Småland. Retro,30,1
70,Taklampa blå. Lundby Småland. Retro,30,1
71,Vägglampa. Lundby Småland. Retro,42,5
72,Vägglampa orange. Lundby Småland. Retro,33,2
73,Taklampa turkos . Lundby Småland. Retro,36,3
74,Taklampa orange och röd. Lundby Småland. Retro,30,1
75,Golvlampa rosa. Lundby Småland. Retro,30,1
76,Golvlampa rosa. Lundby Småland. Retro,30,1
77,Golvlampa finrummet. Lundby Småland. Retro,124,19
78,Golvlampa guld . Lundby Småland. Retro,39,4
79,Ytterlampa på stolpe . Lundby Småland. Retro,120,5
80,Retro dockskåpsmöbler Lundby,29,4
81,Retro Lundby Dockskåpsmöbler,100,9
82,Retro Lundby Dockskåpsmöbler,48,3
83,Retro Lundby Dockskåpsmöbler,48,9
84,LUNDBY DOCKSKÅP LUNDBYSKALAN DOCKOR,353,40
85,Tavlor till dockskåp. Lundby. Miniatyrer.,85,12
86,Lundby dockskåp,310,31
87,Retro dockskåpsmöbler Lundby,75,8
88,Retro dockskåpsmöbler Lundby,75,17
89,Retro dockskåpsmöbler Lundby,60,14
90,Dockhus / Dockskåp - Mycket välgjort bord i trä - Möbel Lundby ?,41,5
91,LUNDBY : Vit spetsgardin i plast. Från 80-90-talet.,88,20
92,LUNDBY : Undervåning. Från 70-80-talet.,282,16
93,LUNDBY : Undervåning. Från 80-90-talet.,354,22
94,LUNDBY : 2 stycken sängbord i trä med rosa bakgrund. Från 80-90-talet.,80,10
95,Lundby sovrum barn,145,19
96,"Lundby hundkoja, kaninbur och 7 djur",160,28
97,Lundby vardagsrum,110,11
98,Lundby kök,115,16
99,Retro inredning i porslin för ett Lundby dockskåp,110,29
100,Lundby badrum,140,20
101,Flicka i ridutrustning och med häst Lundby dockskåp,125,22
102,Retro kandelaber med ljus till ett Lundby dockskåp,160,31
103,Dockskåp Dockhus Lundby taklampa. Helt ny.,60,12
104,Retro gunga till utemiljön för ett Lundby dockskåp,70,17
105,Vit spetsgardin till ett Lundby dockskåp,42,11
106,Vit och rosa gardin till ett Lundby dockskåp,32,25
107,Dockskåp Dockhus Lundby taklampor. Helt nya.,50,9
108,Blå gardin till ett Lundby dockskåp Herrgård/Dallas,60,35
109,Brödrost för köket i ett Lundby dockskåp,95,33
110,Brandsläckare till ett Lundby dockskåp,72,28
111,Skärbräda med bröd och kniv till ett Lundby dockskåp,100,24
112,Dockskåp Dockhus Lundby golvlampa. Helt ny.,29,1
113,Fat med 3 cupcakes till ett Lundby dockskåp,40,11
114,Råttfälla med ostbit och liten mus till ett Lundby dockskåp,43,22
115,Tre pelargoner i kruka till ett Lundby dockskåp,25,13
116,Dockskåp Dockhus Lundby retro golvlampa. 1970-tal. Fint skick.,105,14
117,Grytor och stekpanna till ett Lundby dockskåp,80,37
118,Prinsesstårta till ett Lundby dockskåp,52,13
119,Dockskåp Dockhus Lundby retro lampa. Fint skick.,71,8
120,Retro röd telefon till ett Lundby dockskåp,67,28
121,Olika sorters bröd för köket till ett Lundby dockskåp,35,22
122,Dockskåp Dockhus Lundby retro lampa. Fint skick.,160,17
123,Retro symaskin till ett Lundby dockskåp,17,19
124,Dockskåp Dockhus Lundby retro lampa. Fint skick.,60,6
125,Leksaker till barnrummet i ett Lundby dockskåp,81,21
126,Dockskåp Dockhus Lundby retro taklampa. 1960-tal. Fint skick.,108,8
127,Röd kaninbur med två kaniner för utemiljön till ett Lundby dockskåp,65,29
128,Sandlåda med hinkar och andra lekredskap för utemiljön till ett Lundby dockskåp,170,26
129,Små möbler med nallar i för barnrummet i ett Lundby dockskåp,48,16
130,Dockskåp Dockhus Lundby retro taklampa. 1960-tal. Fint skick.,112,6
131,Två stolar för trädgården i ett Lundby dockskåp,185,41
132,Kaffemaskin för köket till ett Lundby dockskåp,66,25
133,Tre tidningar/magasin till ett Lundby dockskåp,34,10
134,Böcker till ett Lundby dockskåp,56,15
135,Dockskåp Dockhus Lundby lampa. Fint skick.,29,1
136,Dockskåp Dockhus Lundby retro kristallkrona. Fint skick.,110,15
137,"Dockskåp Dockhus Lundby retro blombord m. blommor/växter, matta. Jättefint skick",374,25
138,2 dörrar till Lundby dockskåp 80 tal,30,1
139,Dockor till Lundby dockskåp 80 tal,120,5
140,Två nya Lundby mellanvånings sladdar. Dockskåp. Dockhus. Lundbyskalan,100,14
141,TRAPPAN TILL LUNDBY DOCKSKÅP DOCKHUS,75,1
142,DÖRR TILL LUNDBY DOCKSKÅP DOCKHUS,40,1
143,DÖRR TILL LUNDBY DOCKSKÅP DOCKHUS,43,2
144,DÖRR TILL LUNDBY DOCKSKÅP DOCKHUS,43,2
145,FÖNSTER TILL LUNDBY DOCKSKÅP DOCKHUS,265,37
146,FÖNSTER TILL LUNDBY DOCKSKÅP DOCKHUS,220,32
147,1 LOT Lundby till dockskåp,110,7
148,FÖNSTER TILL LUNDBY DOCKSKÅP DOCKHUS,220,32
149,TRAPPRÄCKET TILL LUNDBY DOCKSKÅP DOCKHUS,46,3
150,Inredning till Lundby dockskåp,33,4
151,Möbler/tillbehör till Lundby dockskåp 70-tal,43,5
152,Lundby soffgrupp i velour. Matta. Kuddar Dockskåp. Dockhus. Lundbyskalan.,190,22
153,LUNDBY : Vitt badrum i 4 delar. Från 2000-talet.,160,18
154,LUNDBY : Högt ljust skåp i trä. Från 2000-talet.,100,15
155,LUNDBY : Låg lång bänk i trä. Från 2000-talet.,160,24
156,LUNDBY : Kompakt kök och köksö i trä/plast. Från 2000-talet.,265,28
157,LUNDBY : Badtunna i trä med stege. Från 2000-talet.,315,40
158,"LUNDBY : ""skinnfäll"" 12x9 cm. Från 2000-talet.",26,9
159,"LUNDBY : Badrumsmatta Diam 8,5 cm. Från 2000-talet.",38,11
160,"Superfint Lundby matsalsset. Retro, dockskåp, dockhus",164,3
161,"LUNDBY : Ljus mjuk matta 10,5x10 cm. Från 2000-talet.",46,16
162,LUNDBY : 2 flaskor dricka. Från 2000-talet.,29,5
163,LUNDBY : 3 små burkar dricka. Från 2000-talet.,13,3
164,"Superfint Lundby vardagsrum set. Retro, dockskåp, dockhus",341,13
165,"Lundby Dala set hörnhylla och Moraklocka. Retro, dockskåp, dockhus",74,2
166,"Fint retro Lundby trädgårds set. Grythyttan, hammock, blombänk Dockskåp, dockhus",449,1
167,"Lundby retro köksbord och stolar. Dockskåp, dockhus",149,1
168,Dockskåpsmöbler Lundby,20,1
169,"Superfint retro Lundby Blombord med belysning. Dockskåp, dockhus",579,16
